26.11.2018                        Dynamic List Display                               1
--------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------
|BUKRS|LIFNR |GJAHR|BELNR     |BUZEI|BLDAT     |XBLNR           |BLART|         DMBTR|
|C04  |300533| 2018|5100481567|    1|21.08.2018|9130076247      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481568|    1|21.08.2018|9130076234      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481569|    1|21.08.2018|9130076244      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481570|    1|21.08.2018|9130076242      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481571|    1|21.08.2018|9130076235      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481572|    1|21.08.2018|9130076236      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481573|    1|21.08.2018|9130076237      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481574|    1|21.08.2018|9130076239      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481575|    1|21.08.2018|9130076240      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481582|    1|21.08.2018|9130076241      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481584|    1|21.08.2018|9130076238      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481586|    1|21.08.2018|9130076253      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481589|    1|21.08.2018|9130076254      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481591|    1|21.08.2018|9130076260      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481592|    1|21.08.2018|9130076261      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481594|    1|21.08.2018|9130076262      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481595|    1|21.08.2018|9130076263      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481597|    1|21.08.2018|9130076264      |RE   |     1,123.90 |
|C04  |300533| 2018|5100481605|    1|21.08.2018|9130076387      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481610|    1|21.08.2018|9130076274      |RE   |     4,704.40 |
|C04  |300533| 2018|5100483488|    1|21.08.2018|9130076265      |RE   |     1,123.90 |
|C04  |300533| 2018|5100484019|    1|21.08.2018|9130076266      |RE   |     1,123.90 |
|C04  |300533| 2018|5100484020|    1|21.08.2018|9130076267      |RE   |     1,123.90 |
|C04  |300533| 2018|5100484025|    1|21.08.2018|9130076268      |RE   |     1,123.90 |
|C04  |300533| 2018|5100484028|    1|21.08.2018|9130076269      |RE   |     3,371.70 |
|C04  |300533| 2018|5100484029|    1|21.08.2018|9130076270      |RE   |     2,247.80 |
|C04  |300533| 2018|5100484030|    1|21.08.2018|9130076271      |RE   |     1,123.90 |
|C04  |300533| 2018|5100484031|    1|21.08.2018|9130076272      |RE   |     1,123.90 |
|C04  |300533| 2018|5100484035|    1|21.08.2018|9130076273      |RE   |     1,123.90 |
|C04  |300533| 2018|5100484039|    1|21.08.2018|9130076275      |RE   |     1,123.90 |
|C04  |300533| 2018|5100484040|    1|21.08.2018|9130076276      |RE   |     2,247.80 |
|C04  |300533| 2018|5100484041|    1|21.08.2018|9130076277      |RE   |     2,247.80 |
|C04  |300533| 2018|5100484042|    1|21.08.2018|9130076278      |RE   |     4,495.60 |
|C04  |300533| 2018|5100484043|    1|21.08.2018|9130076279      |RE   |     3,371.70 |
|C04  |300533| 2018|5100484044|    1|21.08.2018|9130076280      |RE   |     2,247.80 |
|C04  |300533| 2018|5100484045|    1|21.08.2018|9130076281      |RE   |     3,371.70 |
|C04  |300533| 2018|5100484046|    1|21.08.2018|9130076282      |RE   |     4,495.60 |
|C04  |300533| 2018|5100484049|    1|21.08.2018|9130076283      |RE   |     4,495.60 |
|C04  |300533| 2018|5100484050|    1|21.08.2018|9130076284      |RE   |     1,123.90 |
|C04  |300533| 2018|5100484051|    1|21.08.2018|9130076285      |RE   |     3,371.70 |
|C04  |300533| 2018|5100481603|    1|27.08.2018|9130076388      |RE   |    21,461.10 |
|C04  |300533| 2018|5100481604|    1|27.08.2018|9130076389      |RE   |    21,461.10 |
|C04  |300533| 2018|5100481682|    1|27.08.2018|9130076390      |RE   |    19,089.90 |
|C04  |300533| 2018|5100481683|    1|27.08.2018|9130076391      |RE   |    22,991.10 |
|C04  |300533| 2018|5100481687|    1|27.08.2018|9130076392      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481688|    1|27.08.2018|9130076393      |RE   |    16,747.80 |
|C04  |300533| 2018|5100481689|    1|27.08.2018|9130076394      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481694|    1|27.08.2018|9130076395      |RE   |    13,868.10 |
|C04  |300533| 2018|5100481696|    1|27.08.2018|9130076396      |RE   |    16,307.70 |
|C04  |300533| 2018|5100481697|    1|27.08.2018|9130076398      |RE   |    13,464.10 |
|C04  |300533| 2018|5100481698|    1|27.08.2018|9130076399      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481699|    1|27.08.2018|9130076400      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481700|    1|27.08.2018|9130076401      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481701|    1|27.08.2018|9130076402      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481702|    1|27.08.2018|9130076403      |RE   |    20,154.30 |
|C04  |300533| 2018|5100481703|    1|27.08.2018|9130076404      |RE   |    16,747.80 |
|C04  |300533| 2018|5100484054|    1|27.08.2018|9130076405      |RE   |     4,495.60 |
|C04  |300533| 2018|5100484056|    1|27.08.2018|9130076408      |RE   |    33,239.00 |
|C04  |300533| 2018|5100484871|    1|27.08.2018|9130076406      |RE   |     1,792.80 |
|C04  |300533| 2018|5100481576|    1|29.08.2018|9130076601      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481577|    1|29.08.2018|9130076600      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481578|    1|29.08.2018|9130076599      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481579|    1|29.08.2018|9130076597      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481580|    1|29.08.2018|9130076596      |RE   |    18,217.26 |
|C04  |300533| 2018|5100481581|    1|29.08.2018|9130076594      |RE   |    17,813.26 |
|C04  |300533| 2018|5100481583|    1|29.08.2018|9130076593      |RE   |    18,217.26 |
|C04  |300533| 2018|5100481585|    1|29.08.2018|9130076595      |RE   |    18,217.26 |
|C04  |300533| 2018|5100481587|    1|29.08.2018|9130076591      |RE   |    17,813.26 |
|C04  |300533| 2018|5100481588|    1|29.08.2018|9130076590      |RE   |    17,813.26 |
|C04  |300533| 2018|5100481590|    1|29.08.2018|9130076589      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481593|    1|29.08.2018|9130076588      |RE   |    21,461.10 |
|C04  |300533| 2018|5100481596|    1|29.08.2018|9130076587      |RE   |    15,236.56 |
|C04  |300533| 2018|5100481598|    1|29.08.2018|9130076586      |RE   |    18,217.26 |
|C04  |300533| 2018|5100481599|    1|29.08.2018|9130076585      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481600|    1|29.08.2018|9130076584      |RE   |    22,168.10 |
