BUKRS,LIFNR,GJAHR,BELNR,BUZEI,BLDAT_1,XBLNR,BLART,DMBTR,BLDAT
C04  ,300533,2018,5100481653,1,,9130076663      ,RE   ,15305.5,30/8/2018
C04  ,300533,2018,5100481654,1,,9130076662      ,RE   ,19851.301,30/8/2018
C04  ,300533,2018,5100481655,1,,9130076661      ,RE   ,19324.5,30/8/2018
C04  ,300533,2018,5100481656,1,,9130076660      ,RE   ,19021.5,30/8/2018
C04  ,300533,2018,5100481657,1,,9130076659      ,RE   ,19324.5,30/8/2018
C04  ,300533,2018,5100481658,1,,9130076657      ,RE   ,18617.5,30/8/2018
C04  ,300533,2018,5100481659,1,,9130076655      ,RE   ,19324.5,30/8/2018
C04  ,300533,2018,5100481660,1,,9130076652      ,RE   ,18617.5,30/8/2018
C04  ,300533,2018,5100481718,1,,9130076617      ,RE   ,52309,30/8/2018
C04  ,300533,2018,5100481719,1,,9130076618      ,RE   ,9671.4004,30/8/2018
C04  ,300533,2018,5100481720,1,,9130076619      ,RE   ,14973.2,30/8/2018
C04  ,300533,2018,5100481721,1,,9130076621      ,RE   ,5716.6001,30/8/2018
C04  ,300533,2018,5100481722,1,,9130076622      ,RE   ,33399.801,30/8/2018
C04  ,300533,2018,5100481723,1,,9130076623      ,RE   ,79474.703,30/8/2018
C04  ,300533,2018,5100481724,1,,9130076624      ,RE   ,69911.602,30/8/2018
C04  ,300533,2018,5100481725,1,,9130076646      ,RE   ,9895.4004,30/8/2018
C04  ,300533,2018,5100481726,1,,9130076648      ,RE   ,18617.5,30/8/2018
C04  ,300533,2018,5100481727,1,,9130076649      ,RE   ,18617.5,30/8/2018
C04  ,300533,2018,5100481728,1,,9130076650      ,RE   ,19021.5,30/8/2018
C04  ,300533,2018,5100481729,1,,9130076651      ,RE   ,17813.26,30/8/2018
C04  ,300533,2018,5100483236,1,,9130076785      ,RE   ,18368.76,6/9/2018
C04  ,300533,2018,5100483807,1,,9130076786      ,RE   ,18217.26,6/9/2018
C04  ,300533,2018,5100483808,1,,9130076787      ,RE   ,17457.199,6/9/2018
C04  ,300533,2018,5100483809,1,,9130076788      ,RE   ,4704.3999,6/9/2018
C04  ,300533,2018,5100483810,1,,9130076789      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483833,1,,9130076790      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483812,1,,9130076791      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483813,1,,9130076792      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483814,1,,9130076793      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483815,1,,9130076794      ,RE   ,19324.5,6/9/2018
C04  ,300533,2018,5100483816,1,,9130076795      ,RE   ,19324.5,6/9/2018
C04  ,300533,2018,5100483817,1,,9130076796      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483818,1,,9130076797      ,RE   ,10193.05,6/9/2018
C04  ,300533,2018,5100483819,1,,9130076799      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483820,1,,9130076800      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483821,1,,9130076801      ,RE   ,19021.5,6/9/2018
C04  ,300533,2018,5100483822,1,,9130076802      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483823,1,,9130076803      ,RE   ,21779.1,6/9/2018
C04  ,300533,2018,5100483824,1,,9130076804      ,RE   ,16307.7,6/9/2018
C04  ,300533,2018,5100483825,1,,9130076805      ,RE   ,13868.1,6/9/2018
C04  ,300533,2018,5100483826,1,,9130076806      ,RE   ,18884.4,6/9/2018
C04  ,300533,2018,5100483827,1,,9130076807      ,RE   ,19021.5,6/9/2018
C04  ,300533,2018,5100483829,1,,9130076808      ,RE   ,18268.25,6/9/2018
C04  ,300533,2018,5100483830,1,,9130076809      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483831,1,,9130076810      ,RE   ,19021.5,6/9/2018
C04  ,300533,2018,5100483832,1,,9130076833      ,RE   ,14171.1,6/9/2018
C04  ,300533,2018,5100483855,1,,9130076812      ,RE   ,19591.4,6/9/2018
C04  ,300533,2018,5100483857,1,,9130076813      ,RE   ,18884.4,6/9/2018
C04  ,300533,2018,5100483858,1,,9130076814      ,RE   ,21461.1,6/9/2018
C04  ,300533,2018,5100483859,1,,9130076815      ,RE   ,19021.5,6/9/2018
C04  ,300533,2018,5100483860,1,,9130076816      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483861,1,,9130076817      ,RE   ,19021.5,6/9/2018
C04  ,300533,2018,5100483862,1,,9130076818      ,RE   ,16040.8,6/9/2018
C04  ,300533,2018,5100483863,1,,9130076819      ,RE   ,19021.5,6/9/2018
C04  ,300533,2018,5100483864,1,,9130076820      ,RE   ,22284.1,6/9/2018
C04  ,300533,2018,5100483865,1,,9130076821      ,RE   ,21461.1,6/9/2018
C04  ,300533,2018,5100483866,1,,9130076822      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483867,1,,9130076823      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483868,1,,9130076824      ,RE   ,21865.1,6/9/2018
C04  ,300533,2018,5100483869,1,,9130076825      ,RE   ,18689.66,6/9/2018
C04  ,300533,2018,5100483870,1,,9130076826      ,RE   ,15236.56,6/9/2018
C04  ,300533,2018,5100483871,1,,9130076827      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483872,1,,9130076828      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483873,1,,9130076829      ,RE   ,19324.5,6/9/2018
C04  ,300533,2018,5100483874,1,,9130076830      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483875,1,,9130076831      ,RE   ,22284.1,6/9/2018
C04  ,300533,2018,5100483876,1,,9130076832      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483877,1,,9130076833      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483879,1,,9130076834      ,RE   ,19021.5,6/9/2018
C04  ,300533,2018,5100483880,1,,9130076835      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483881,1,,9130076836      ,RE   ,19324.5,6/9/2018
C04  ,300533,2018,5100483882,1,,9130076837      ,RE   ,21865.1,6/9/2018
C04  ,300533,2018,5100483883,1,,9130076838      ,RE   ,18217.26,6/9/2018
C04  ,300533,2018,5100483884,1,,9130076839      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483885,1,,9130076840      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483886,1,,9130076841      ,RE   ,18217.26,6/9/2018
C04  ,300533,2018,5100483887,1,,9130076842      ,RE   ,19391.301,6/9/2018
C04  ,300533,2018,5100483888,1,,9130076843      ,RE   ,18217.26,6/9/2018
C04  ,300533,2018,5100483889,1,,9130076844      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483890,1,,9130076845      ,RE   ,19021.5,6/9/2018
C04  ,300533,2018,5100483891,1,,9130076846      ,RE   ,22991.1,6/9/2018
C04  ,300533,2018,5100483892,1,,9130076847      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483893,1,,9130076848      ,RE   ,18368.76,6/9/2018
C04  ,300533,2018,5100483894,1,,9130076849      ,RE   ,16839.801,6/9/2018
C04  ,300533,2018,5100483895,1,,9130076850      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483896,1,,9130076851      ,RE   ,22284.1,6/9/2018
C04  ,300533,2018,5100483897,1,,9130076852      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483898,1,,9130076853      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483899,1,,9130076854      ,RE   ,18217.26,6/9/2018
C04  ,300533,2018,5100483900,1,,9130076855      ,RE   ,18617.5,6/9/2018
C04  ,300533,2018,5100483901,1,,9130076856      ,RE   ,17813.26,6/9/2018
C04  ,300533,2018,5100483902,1,,9130076857      ,RE   ,14880.5,6/9/2018
C04  ,300533,2018,5100483903,1,,9130076858      ,RE   ,19021.5,6/9/2018
C04  ,300533,2018,5100483904,1,,9130076859      ,RE   ,17813.26,6/9/2018
