_key_in,_key_out,_score,BUKRS,LIFNR,GJAHR,BELNR,BUZEI,XBLNR,BLART,DMBTR,BLDAT,BLDAT_clean,DMBTR_clean,XBLNR_clean,LIFNR_clean,_Similarity_XBLNR
5219,5219,1,C04  ,220234,2018,5100489852,1,MAL1858106      ,RE   ,4256,2018-08-29 00:00:00,2018-08-29 00:00:00,4256,MAL1858106      ,220234,1
5220,5220,1,C04  ,220234,2018,5100489853,1,MAL1859084      ,RE   ,280.51001,2018-08-29 00:00:00,2018-08-29 00:00:00,280.51001,MAL1859084      ,220234,1
5221,5221,1,C04  ,220234,2018,5100489855,1,MAL1858983      ,RE   ,2096.8601,2018-08-29 00:00:00,2018-08-29 00:00:00,2096.8601,MAL1858983      ,220234,1
5222,5222,1,C04  ,220234,2018,5100489861,1,MAL1859007      ,RE   ,4256,2018-08-29 00:00:00,2018-08-29 00:00:00,4256,MAL1859007      ,220234,1
5223,5223,1,C04  ,220234,2018,5100489864,1,MAL1859086      ,RE   ,8377.8496,2018-08-29 00:00:00,2018-08-29 00:00:00,8377.8496,MAL1859086      ,220234,1
5224,5224,1,C04  ,220234,2018,5100489879,1,MAL1850333      ,RE   ,5319.0801,2018-08-21 00:00:00,2018-08-21 00:00:00,5319.0801,MAL1850333      ,220234,1
5225,5225,1,C04  ,220234,2018,5100489880,1,MAL1859082      ,RE   ,809.14001,2018-08-29 00:00:00,2018-08-29 00:00:00,809.14001,MAL1859082      ,220234,1
5226,5226,1,C04  ,220234,2018,5100489888,1,MAL1858940      ,RE   ,8787.2998,2018-08-29 00:00:00,2018-08-29 00:00:00,8787.2998,MAL1858940      ,220234,1
5227,5227,1,C04  ,220234,2018,5100489898,1,MAL1866980      ,RE   ,4837.9702,2018-09-29 00:00:00,2018-09-29 00:00:00,4837.9702,MAL1866980      ,220234,1
5228,5228,1,C04  ,220234,2018,5100490006,1,MAL1869937      ,RE   ,352.64001,2018-09-30 00:00:00,2018-09-30 00:00:00,352.64001,MAL1869937      ,220234,1
5229,5229,1,C04  ,220234,2018,5100490009,1,MAL1873385      ,RE   ,4708.5801,2018-10-05 00:00:00,2018-10-05 00:00:00,4708.5801,MAL1873385      ,220234,1
5230,5230,1,C04  ,220234,2018,5100490058,1,MAL1866982      ,RE   ,4708.5801,2018-09-29 00:00:00,2018-09-29 00:00:00,4708.5801,MAL1866982      ,220234,1
5231,5231,1,C04  ,220234,2018,5100490068,1,MAL1865573      ,RE   ,325.94,2018-09-28 00:00:00,2018-09-28 00:00:00,325.94,MAL1865573      ,220234,1
5233,5233,1,C04  ,220234,2018,5100490332,1,MAL1867656      ,RE   ,3800,2018-09-29 00:00:00,2018-09-29 00:00:00,3800,MAL1867656      ,220234,1
5234,5234,1,C04  ,220234,2018,5100490126,1,MAL1867645      ,RE   ,1394.2,2018-09-29 00:00:00,2018-09-29 00:00:00,1394.2,MAL1867645      ,220234,1
5235,5235,1,C04  ,220234,2018,5100490134,1,MAL1867569      ,RE   ,3800,2018-09-29 00:00:00,2018-09-29 00:00:00,3800,MAL1867569      ,220234,1
5236,5236,1,C04  ,220234,2018,5100490197,1,MAL1864699      ,RE   ,5517.7202,2018-09-27 00:00:00,2018-09-27 00:00:00,5517.7202,MAL1864699      ,220234,1
5237,5237,1,C04  ,220234,2018,5100490209,1,MAL1864443      ,RE   ,2400.1899,2018-09-27 00:00:00,2018-09-27 00:00:00,2400.1899,MAL1864443      ,220234,1
5238,5238,1,C04  ,220234,2018,5100486615,1,MAL1869832      ,RE   ,1121.24,2018-09-30 00:00:00,2018-09-30 00:00:00,1121.24,MAL1869832      ,220234,1
5239,5239,1,C04  ,220234,2018,5100486618,1,MAL1869834      ,RE   ,1255.79,2018-09-30 00:00:00,2018-09-30 00:00:00,1255.79,MAL1869834      ,220234,1
5240,5240,1,C04  ,220234,2018,5100486621,1,MAL1869788      ,RE   ,1255.79,2018-09-30 00:00:00,2018-09-30 00:00:00,1255.79,MAL1869788      ,220234,1
5241,5241,1,C04  ,220234,2018,5100486622,1,MAL1869831      ,RE   ,1952.38,2018-09-30 00:00:00,2018-09-30 00:00:00,1952.38,MAL1869831      ,220234,1
5242,5242,1,C04  ,220234,2018,5100486645,1,MAL1869290      ,RE   ,8298.9004,2018-09-30 00:00:00,2018-09-30 00:00:00,8298.9004,MAL1869290      ,220234,1
